old_indication;index;old_indication_normalized
problem bleeding on the contraceptive implant;45;implant bleeding tongue bacteria reduction aml relapse treatment brain hemorrhage
primary dysmenorrhea;46;dysmenorrhea
"preterm delivery; antenatal counseling; maternal recall; maternal understanding";47;"preterm birth; antenatal counseling; maternal morbidity; maternal morbidity"
preterm birth, premature birth, complications of prematurity;48;"preterm birth; preterm birth; qol gb disorders pulp necrosis gb calculus ureter calculus"
premature rupture of membranes (prom), previable pregnancies, amniotic fluid leak;49;"prom; previable pregnancies; fo csf leak af leak af sludge pfr"
"premature ovarian failure; female infertility associated with anovulation; poor ovarian response";50;"hf rf rf lf onlf; fertility disorders; ovarian dysfunction"
premature ovarian failure (pof);51;pof
"pregnancy; childbirth; puer";52;"pregnancy; childbirth; puer"
pregnancy, childbirth, puerperium;53;"pregnancy; childbirth; puerperium"
pregnancy and childbirth;54;pregnancy
"pre-eclampsia; pregnancy loss";55;"peclamp; pregnancy"
"preeclampsia; intrauterine growth restriction (iugr)";56;"peclamp; fgr"
"pre-eclampsia; hypertension";57;"peclamp; htn"
"post-term pregnancy; labor induction";58;"pregnancy; induction labor duration"
postpartum pelvic girdle pain;59;pelvic pain
"postpartum obstetric anal sphincter injury; sexual dysfunction; anal incontinence; urinary";60;"obstetric anal sphincter injury; ed; af; uti"
"postpartum hemorrhage; twin pregnancy";61;"hemorrhage; pregnancy"
"postpartum hemorrhage; normal childbirth";62;"hemorrhage; childbirth"
"postpartum hemorrhage; coagulation disorder; coagulation factor deficiency";63;"hemorrhage; mdd bd aud oud asd; iron def"
"postpartum hemorrhage; cesarean delivery";64;"hemorrhage; c-section"
postpartum hemorrhage prevention;65;hemorrhage
postpartum hemorrhage caused by uterine atony in term pregnant women having an uncomplicated v;66;hemorrhage
postpartum hemorrhage;67;hemorrhage
postpartum depression;68;mdd
postpartum contraception, lactation initiation;69;"hemorrhage; lactation"
postoperative pain management after caesarean section;70;lscs
postoperative nausea and vomiting following spinal cesarean delivery;71;ponv
postoperative analgesia following gynecological single-incision laparoscopic surgery;72;postop analgesia cholecystectomy postop vomiting postop renal damage
"postmenopausal women; sexual dysfunction; menopause";73;"pmw; ed; menopause"
"post-menopausal women; improving quality of life, physical health, psychosocial health, and sexual f";74;"pmw; qol gb disorders pulp necrosis gb calculus ureter calculus; mh omhd oh md gh; mh omhd oh md gh; ssi"
"post-cesarean pain; breastfeeding self-efficacy; post-partum recovery";75;"pain; breastfeeding; pp recovery"
"poor responders in ivf; female infertility";76;"poor responders in ivf; infertility"
"poor ovarian response; ovarian dysfunction";77;"ovarian dysfunction; ed"
"poor ovarian response; infertility; oocyte quality; fertilization rate; chemical pregnancy";78;"ovarian dysfunction; infertility; qol gb disorders pulp necrosis gb calculus ureter calculus; afr; pregnancy"
"polycystic ovary syndrome (pcos); female infertility of uterine origin (n97";79;"pcos; fertility disorders"
polycystic ovary syndrome (pcos);80;pcos
"polycystic ovarian syndrome (pcos); stress urinary incontinence (sui)";81;"pcos; uti"
polycystic ovarian syndrome (pcos);82;pcos
polycystic ovarian syndrome (pcod);83;pcos
"pelvic organ prolapse (pop); vaginal estrogen for improvement of outcomes following pelvic organ pro";84;"pelvic organ prolapse; pelvic organ prolapse"
"painless labor and delivery; spinal and epidural anesthesia complications during labor and delivery";85;"nvd; anesthesia complications"
painless hysteroscopy;86;hysteroscopy
pain management;87;pain
pain after delivery in post partum mothers;88;pain relief
ovulation disorder;89;mdd bd aud oud asd
ovarian torsion;90;ovarian dysfunction
"other specified pregnancy-related conditions; labor pain management";91;"digestive diseases; pain"
"other specified noninflammatory disorders of uterus; total laparoscopic hysterectomy";92;"digestive diseases; tkr"
"other specified noninflammatory disorders of cervix uteri; vaginal discharge";93;"digestive diseases; atrophy"
"other specified complications of labor and delivery; improvement of quality maternal care in periphe";94;"teeth disorders musculoskeletal disorders edentulism eye disorders; qol gb disorders pulp necrosis gb calculus ureter calculus"
"other intrapartum hemorrhage; cesarean delivery";95;"hemorrhage; c-section"
"other immediate postpartum hemorrhage; ceaserean section";96;"hemorrhage; ceaserean section."
"oligospermia; low sperm count";97;"male oligospermia; low"
"oligomenorrhea; hypomenorrhea";98;"oligomenorrhea; ohm"
"noninflammatory disorder of vagina; vaginal laxity";99;"teeth disorders musculoskeletal disorders edentulism eye disorders; atrophy"
"noninflammatory disorder of ovary; fallopian tube and broad ligament; unspecified menopausal and per";100;"teeth disorders musculoskeletal disorders edentulism eye disorders; ft rftc prftc ng tube placement ftea; nervousmusculoskeletal symptoms
maternal conditions
general symptoms
anklefoot"
noninflam;101;inflam
newborn care, birth asphyxia, delayed cord clamping, skin-to-skin contact;102;"care; preterm birth; tbi; contact"
"myoma of uterus; laparoscopic total hysterectomy";103;"qol gb disorders pulp necrosis gb calculus ureter calculus; tkr"
"morning sickness; nausea and vomiting of pregnancy";104;"ams; ponv"
"medical abortion; second-trimester abortion";105;"ssi; abortion"
"medical abortion; nausea; pain; prophylactic analgesic and antiemetic regimen";106;"ssi; pon; pain; prophylactic analgesic and antiemetic regimen."
"maternal hypotension; spinal anesthesia; cesarean section; obesity";107;"hypotension; anesthesia; c-section; obesity"
"maternal hypotension; nausea and vomiting; spinal hypotension; cesarean section";108;"hypotension; ponv; hypotension; c-section"
"maternal hypotension; elective caesarean section under spinal anaesthesia";109;"hypotension; elective surgery"
"lower segment cesarean section; hypotension prevention";110;"c-section; hypotension"
"laparotomy; postoperative pain management";111;"laparotomy; pain"
laparoscopic total hysterectomy;112;tkr
"laparoscopic surgery; postoperative nausea and vomiting (ponv)";113;"surgery; ponv"
"laparoscopic surgery; postoperative analgesia; gastrointestinal function recovery";114;"surgery; epidural analgesia; gi endoscopy"
laparoscopic sterilization;115;laparoscopic surgeries
laparoscopic removal of fibroids from the uterus;116;digestive diseases
"labour pain; pregnancy and childbirth";117;"pain; pregnancy"
"labor pain; painless delivery";118;"pain; ftud"
"labor pain; induction of labor; affected fetus; newborn; physiologic effects of drugs";119;"pain; qol gb disorders pulp necrosis gb calculus ureter calculus; affected fetus; newborn; drug effects"
"labor pain relief; childbirth; puerperium";120;"pain; childbirth; puerperium"
"labor pain management; spinal and epidural anesthesia complications during labor and delivery";121;"pain; anesthesia complications"
"labor pain management; postpartum recovery; newborn outcomes";122;"pain; hemorrhage; newborn"
"labor pain management; epidural-related maternal fever during labor analgesia";123;"pain; epidural fever birthing ball education patient controlled epidural analgesia with butor"
"labor induction; full-term uncomplicated delivery";124;"induction labor duration; ftud"
"labor induction; different medications to induce labor";125;"induction labor duration; different medications to induce labor"
"labor and delivery; painless natural childbirth";126;"ssi; childbirth"
iron-deficiency anemia in pregnancy;127;iron-def anemia in preg fetal growth in preg anemia in lower-risk mds
"iron deficiency anemia in pregnancy; correction of anemia during childbirth";128;"iron def; pocd crcc rcoh aop egf"
iron deficiency anaemia;129;iron def
"inverted nipples; non-protractile nipples; breastfeeding difficulties";130;"nipple inversion; nipple inversion; breastfeeding"
"intrauterine adhesions (iua); moderate to severe iua";131;"iua; ptsd ptsd rsi glabellar lines psychotic disorder"
"infertility; pregnancy; mental health";132;"infertility; pregnancy; mh omhd oh md gh"
"infertility; fertility, including in vitro fertilization";133;"infertility; infertility; including in vitro fertilization"
"infertility; anovulation; poor ovarian response";134;"infertility; anovulation; ovarian dysfunction"
infertility due to polycystic ovary syndrome (pcos);135;pcos
infertility;136;infertility
"hysteroscopy; painless hysteroscopy";137;"hysteroscopy; hysteroscopy"
"hysteroscopy; day-surgery hysteroscopy";138;"hysteroscopy; hysteroscopy"
"hysteroscopic surgery; uterine diseases";139;"surgery; cvd msd ad pd ed"
"hypovitaminosis d in pregnancy; pre-eclampsia; gestational diabetes; pre";140;"hypovitaminosis d; peclamp; diabetes; premature"
hypertrophy of uterus;141;qol gb disorders pulp necrosis gb calculus ureter calculus
heavy bleeding during periods;142;menorrhagia
gestational diabetes;143;diabetes
genitourinary syndrome of menopause (gsm);144;gsm
garbhini kikkisa (a skin;145;garbhini kikkisa (a skin
"full-term uncomplicated delivery; labor induction";146;"ftud; induction labor duration"
"full-term uncomplicated delivery; anuvasana vasti and yoni picchu interventions for f";147;"ftud; dental exam  cleaning"
foetal growth in pregnancy;148;iron-def anemia in preg fetal growth in preg anemia in lower-risk mds
"female infertility; tubal origin; polypectomy; ivf success";149;"infertility; tubal blockage; polypectomy; ivf"
"female infertility; thin endometrium; recurrent pregnancy loss (rpl); implantation failure (rif)";150;"infertility; endometrium; rpl; hf rf rf lf onlf"
"female infertility; repeated ivf failures; miscarriages";151;"infertility; ivf; miscarriage"
"female infertility; recurrent implantation failure";152;"infertility; hf rf rf lf onlf"
"female infertility; poor ovarian response";153;"infertility; ovarian dysfunction"
"female infertility; ovulation induction cycles";154;"infertility; induction labor duration"
"female infertility; ovarian stimulation";155;"infertility; ovarian dysfunction"
"female infertility; frozen embryo transfer success";156;"infertility; embryo transfer"
"female infertility; diminished ovarian reserve; ovarian rejuvenation";157;"infertility; ovarian dysfunction; ovarian dysfunction"
female infertility associated with anovulation;158;fertility disorders
female infertility;159;infertility
family planning;160;fp cfpm fc
"endometriosis; vaginal dryness; menopausal symptoms";161;"endometriosis; atrophy; symptoms"
"endometriosis; total abdominal hysterectomy";162;"endometriosis; tkr"
"endometriosis; ovarian reserve";163;"endometriosis; ovarian dysfunction"
"endometriosis; infertility";164;"endometriosis; infertility"
endometriosis;165;endometriosis
endometrial compaction, artificial endometrial preparation, single euploid embryo transfer, implanta;166;"polyp; bowel prep; embryo transfer; implanta"
"emergency contraception; delay in follicular rupture";167;"contraception; delay in follicular rupture"
emergency cesarean section;168;c-section
"elective lower segment caesarean section; spinal anesthesia";169;"lscs; anesthesia"
"ectopic pregnancy; cesarean scar pregnancy";170;"pregnancy; pregnancy"
ectopic pregnancy;171;pregnancy
"dysmenorrhea; primary dysmenorrhea; secondary dysmenorrhea";172;"dysmenorrhea; dysmenorrhea; dysmenorrhea"
dysmenorrhea;173;dysmenorrhea
disease of uterusovary;174;ckd cad aki ed scd
delayed ovulation, pregnancy prevention;175;"delayed ovulation; pregnancy"
contraception;176;contraception
"complications of labor and delivery; pregnancy outcomes; anxiety; stress; fear; maternal satisfactio";177;"teeth disorders musculoskeletal disorders edentulism eye disorders; pregnancy; anxiety; stress; fear ear preop fear fem art punct site closure; maternal morbidity"
"complications following induced termination of pregnancy; second trimester abortion";178;"pasc; abortion"
"cesarean section; transversus abdominis plane (tap) block; pain management";179;"c-section; espb; pain"
"cesarean section; pregnancy-related complications; anesthesia for obstetric procedures";180;"c-section; postop complications postop postop sore throat postop recovery postop pa; obstetric anesthesia"
"cesarean section; post-surgical adhesions";181;"c-section; psa"
"cesarean section; postoperative pain management";182;"c-section; pain"
"cesarean section; post-operative analgesia";183;"c-section; epidural analgesia"
"cesarean section; postoperative analgesia";184;"c-section; epidural analgesia"
"cesarean section; pain management";185;"c-section; pain"
"cesarean section; childbirth; puerperium; anxiety";186;"c-section; childbirth; puerperium; anxiety"
"cesarean section; blood loss during surgery";187;"c-section; surgical blood loss"
"cesarean section; analgesia after cesarean delivery";188;"c-section; c-section"
"cesarean section complications; post-partum hemorrhage; blood loss in cesarean section";189;"c-section; hemorrhage; surgical blood loss"
"cesarean delivery; pain management";190;"c-section; pain"
"cesarean delivery; newborn blood glucose level; maternal carbohydrate intake";191;"c-section; bg electrolyte imbalance diabetes; maternal morbidity"
cervical erosion and ectropion;192;cervical degeneration
catheter-related bladder discomfort (crbd) after gynecological laparoscopic surgery;193;crbd
caesarean wound healing;194;wound
"caesarean section; neonatal outcomes";195;"c-section; nnjaundice"
breast milk insufficiency in postpartum women;196;lactation issues
"birth control; contraceptive management";197;"preterm birth; airway management am
weight management wm
difficult airway da
lary"
azoospermia, nonobstructive azoospermia, teratospermia, oligospermia, men infertil;198;"azoospermia; azoospermia; teratospermia; male oligospermia; male infertility"
"assisted reproduction; infertility";199;"art; infertility"
"anemia; iron deficiency; hypophosphatemia";200;"anemia; iron def; hypophosphatemia"
"adenomyosis; infertility; assisted reproductive technology (art)";201;"adenomyosis; infertility; art"
acute pain after surgery for female reproductive system diseases;202;digestive diseases
abnormal uterine and vaginal bleeding;203;epistaxis
vasculogenic erectile dysfunction (ed);204;ed
"urinary tract symptoms; dysuria; hematuria; ureteral stents";205;"uti; dysuria; hematuria; ureteral obstruction"
urinary tract infections (utis), biofilms, ureteral obstruction, ureteral stents, c;206;"luts cuti utis lrti lutc; biofilms; ureteral obstruction; ureteral obstruction; c"
"urinary retention; post-operative urinary retention; rectal resection";207;"uti; uti; rectal resection thoracoscopic wedge resection mandibular resection rectal"
"urinary reflux; urethritis; urethral syndrome";208;"uti; nonspecific urethritis; rds mets cad ibs rtis"
urinary incontinence;209;uti
"urethral stricture; peri-operative oral pain control";210;"esophstric; post-op pain control"
"upper tract urolithiasis; urethral pain and catheter-related bladder discomfort after ureteroscopy";211;"urolithiasis; pelvic pain"
"transurethral surgery; elderly patients";212;"surgery; elderly"
"transurethral resection of the prostate (turp); shivering";213;"digestive diseases; shivering"
stress urinary incontinence (sui) in postmenopausal women;214;uti
stress urinary incontinence;215;stress
"renal stones; upper ureteral stones";216;"renal insufficiency; ureteral obstruction"
renal and ureteral stones;217;renal stones
"recurrent urinary tract infections (rutis); hypoestrogenism";218;"luts cuti utis lrti lutc; hypoestrogenism"
recurrent urinary tract infection (ruti);219;luts cuti utis lrti lutc
"prostate enlargement; transurethral resection of the prostate (turp)";220;"prostate hypertrophy; digestive diseases"
posterior urethral valve, upper urinary tract obstruction, pediatric urological disorders;221;"puv; luts cuti utis lrti lutc; pediatric neurosurgery pediatric urological disorders pediatric diaphoresis pediatric aden"
"peyronie's disease; sexual dysfunction; genital diseases; male";222;"ckd cad aki ed scd; ed; cvd msd ad pd ed; male."
peyronie's disease;223;ckd cad aki ed scd
"pelvi-ureteric obstruction; minimally invasive dismembered pyeloplasty";224;"duct obstruction; minimally invasive dismembered pyeloplasty"
"pelvic stone; nephrolithotomy";225;"pelvic organ prolapse; nephrolithotomy"
"overactive bladder; urinary incontinence";226;"bladder dysfunc; uti"
"lower urinary tract symptoms; voiding disorders; pain; quality of life";227;"luts cuti utis lrti lutc; hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; pain; qol gb disorders pulp necrosis gb calculus ureter calculus"
"lower urinary tract symptoms (luts) in women without urinary tract infections (uti); female urinary";228;"luts cuti utis lrti lutc; uti"
"lower urinary tract symptoms (luts) due to benign prostatic hyperplasia (bph); moderate and se";229;"bph eh aeh; ssi"
lower third ureteric stones;230;lower third ureteric stones
"kidney stones; acute tubulo-interstitial nephritis";231;"ckd cad aki ed scd; tin"
"kidney stone; calculus of kidney";232;"ckd cad aki ed scd; ckd cad aki ed scd"
inguinal hernia repair;233;hernia
"hypospadias; de-epithelialized dorsal preputial dartos flap; tubularized incised pl";234;"hypospadias; de-epithelialized dorsal preputial dartos flap; tubularized incised pl"
hypospadias;235;hypospadias
"genitourinary postprocedural disorder; delirium after major urological surgeries";236;"mdd bd aud oud asd; uro delirium"
"female circumferential urethral diverticulum; transvaginal diverticulum wall filling and coverage te";237;"female circumferential urethral diverticulum; tvdwc zdbicn"
"erectile dysfunction; androgen declining; aging male";238;"ed; ad ar; aging"
"distal ureteric calculi; ureteral obstruction; renal colic; medical expulsive therapy";239;"du calculi dso; ureteral obstruction; renal insufficiency; ssi"
"disorders of male genital organs; penile surgery";240;"male genital disorders connective tissue disorders female genital noninflammatory disorders cervix nonin; surgery"
cystoscopy;241;cystoscopy
"contracted bladder; augmentation cystoplasty";242;"bladder dysfunc; augmentation"
"chronic prostatitis; chronic pelvic pain syndrome";243;"cpps; pelvic pain"
"candidiasis of other urogenital sites; vaginal dryness; dyspareunia; burning; itching";244;"digestive diseases; atrophy; dyspareunia; burning; itch"
"calculus of ureter; ureteric calculus; ursl surgery";245;"qol gb disorders pulp necrosis gb calculus ureter calculus; ureter obstruction; surgery"
calculus of kidney (kidney stones);246;gallstone
bladder neoplasms;247;neoplasms
"bladder discomfort; bladder surgeries";248;"bladder dysfunc; bladder dysfunc"
"benign prostatic hyperplasia; lower urinary tract symptoms";249;"bph eh aeh; luts cuti utis lrti lutc"
"benign prostatic hyperplasia (bph); urinary obstruction; hematuria";250;"bph eh aeh; uti; hematuria"
"benign prostatic hyperplasia (bph); urinary incontinence";251;"bph eh aeh; uti"
"benign prostatic hyperplasia (bph); lower urinary tract symptoms (luts)";252;"bph eh aeh; luts cuti utis lrti lutc"
"benign prostatic hyperplasia (bph); intraoperative blood loss";253;"bph eh aeh; hl wl bl snhl hl"
benign prostatic hyperplasia (bph), urinary tract infections (utis);254;"bph eh aeh; luts cuti utis lrti lutc"
benign prostatic hyperplasia (bph), lower urinary tract symptoms (luts), retrograde ejaculation;255;"bph eh aeh; luts cuti utis lrti lutc; premature"
benign prostate hypertrophy (bph);256;benign prostate hypertrophy (bph)
"benign prostate hyperplasia (bph); enlarged prostate";257;"bph eh aeh; prostate"
"unilateral inguinal hernia; post-surgery pain relief";258;"hernia; pain"
"unilateral inguinal hernia; postoperative analgesia";259;"hernia; epidural analgesia"
"unilateral inguinal hernia; lower limb surgeries";260;"hernia; abd surgeries"
"thyroidectomy; recurrent laryngeal nerve identification and preservation";261;"thyroidectomy; nerve root compression"
"skin preparation for surgical procedures; wound care";262;"skin prep sedation uaw devices minor oral surgery; wound"
post-operative pain management in adolescent reduction mammaplasty;263;pain relief
postoperative nausea and vomiting;264;ponv
"open cholecystectomy; major abdominal surgery; postoperative analgesia";265;"laparoscopic surgeries; mdd bd aud oud asd; epidural analgesia"
"laparotomy; abdominal surgery";266;"laparotomy; surgery"
"laparoscopic surgery for gallbladder removal; pain relief after surgery";267;"postop analgesia cholecystectomy postop vomiting postop renal damage; pain relief"
"laparoscopic sleeve gastrectomy; postoperative surgical site pain; shoulder pain after surgery";268;"laparoscopic surgeries; surgical site complications; post-op complications"
laparoscopic keyhole surgery;269;surgery
"laparoscopic cholecystectomy; post-operative pain control";270;"laparoscopic surgeries; pain"
"laparoscopic cholecystectomy; outpatient basis";271;"laparoscopic surgeries; outpatient basis"
"laparoscopic cholecystectomy; calculus of gallbladder with acute cholecystitis; calculus of gall";272;"laparoscopic surgeries; gallstone; qol gb disorders pulp necrosis gb calculus ureter calculus"
laparoscopic cholecystectomy;273;laparoscopic surgeries
"laparoscopic appendectomy; appendiceal base securement";274;"laparoscopic surgeries; appendiceal securement"
laparoscopic appendectomy for acute appendicitis;275;laparoscopic appendectomy for acute appendicitis
kidney transplantation;276;ckd cad aki ed scd
"intestinal perforation; abdominal wall closure";277;"intmalabs; abd surgeries"
"hernia repair; laparoscopic hernia surgery";278;"hernia; hernia"
"gallbladder surgery; laparoscopic cholecystectomy";279;"surgery; laparoscopic surgeries"
"gallbladder surgery; cholecystitis; calculus of gallbladder";280;"surgery; cholecystitis; qol gb disorders pulp necrosis gb calculus ureter calculus"
gallbladder surgery;281;surgery
"gallbladder disease; cholecystitis; calculus of gallbladder; laparoscopic assisted cholecystectomy";282;"ckd cad aki ed scd; cholecystitis; qol gb disorders pulp necrosis gb calculus ureter calculus; laparoscopic surgeries"
"donor hepatectomy surgery; pain management";283;"surgery; pain"
"cholelithiasis; laparoscopic cholecystectomy";284;"cholelith; laparoscopic surgeries"
"cholecystectomy; laparoscopic cholecystectomy";285;"laparoscopic surgeries; laparoscopic surgeries"
"cholecystectomy; acute cholecystitis; abdominal nerve block";286;"laparoscopic surgeries; cholecystitis; abd surgeries"
"calculus of gallbladder with acute cholecystitis; postoperative pain relief";287;"gallstone; pain"
"bilateral inguinal hernia; low blood pressure after spinal anesthesia injection";288;"hernia; spinal anesthesia complications"
"anal and rectal surgery; hernia repair; appendix removal; fissure and fistula treatment; abscess dra";289;"foot surgery ankle sprains anal surgery tonsil surgery shoulder surgery; hernia; appendectomy; pfs; periapical abscess periapical lesions periapical abscess without sinus per"
"acute cholecystitis; laparoscopic cholecystectomy";290;"cholecystitis; laparoscopic surgeries"
acute appendicitis;291;appendicitis
"abdominal wall incisions; wound closure";292;"abd surgeries; wound"
"abdominal hernia repair; c-section; lower abdominal surgeries";293;"hernia; c-section; abd surgeries"
"premarital sex; sexually transmitted infections";294;"sex differences; infections"
"early adolescents; sexual risk behaviors; nurse-led school-based sex education program; preventive b";295;"adolescents; fall risk fall prevention hair loss sexual risk behaviors risk taking

fall risk; nurse-led school-based sex education program; hb ha ah hb aihe"
"wind-cold-dampness arthralgia; knee osteoarthritis";296;"arthralgia; oa"
vatakaphaja gridrasi;297;vatakaphaja gridrasi
"unspecified acquired deformity of limb and hand; unspecified injury of elbow and forearm";298;"teeth disorders musculoskeletal disorders edentulism eye disorders; teeth disorders musculoskeletal disorders edentulism eye disorders"
unilateral primary osteoarthritis of knee;299;oa knee oa hip pji knee
tophi arthritis;300;ra pa ka jpa gout
tophaceous gout;301;gout
"tennis elbow; lateral epicondylitis";302;"elbow tendinopathy; lat epicondylitis med epicondylitis lat canthal lines lat"
tennis elbow;303;elbow tendinopathy
temporomandibular joint osteoarthritis;304;oa
"temporomandibular joint disorders; temporomandibular joint pain";305;"hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; pain"
"temporomandibular disorders; headache";306;"hematological disorders tmj disorders mood disorders metabolic disorders substance use disorders; headache
cervicogenic
moh
cluster
tension"
takayasus arteritis;307;gca lch mrls nsclc sct
takayasu arteritis;308;gca lch mrls nsclc sct
"systemic vasculitis; spondylarthropathies; psoriatic arthritis; scleroderma; polymyalgia rheumatica; juvenile arthritis; polyarthritis; sle; giant cell arteritis; herpes zoster";309;"sle; spondylarthropathies; ra pa ka jpa gout; scleroderma; pmr; ra pa ka jpa gout; polyarthritis; sle; gca lch mrls nsclc sct; zoster"
"systemic sclerosis; systemic lupus erythematosus; idiopathic inflammatory myopathy; rheumatoid arthritis";310;"sle; sle; ipf cf pe iim lf; ra pa ka jpa gout"
"systemic sclerosis; scleroderma";311;"sle; scleroderma"
"systemic sclerosis; malnutrition; loss of appetite";312;"sle; malnutrition; qol gb disorders pulp necrosis gb calculus ureter calculus"
"systemic sclerosis; limited cutaneous systemic sclerosis";313;"sle; dcssc"
"systemic sclerosis; interstitial lung disease";314;"sle; ckd cad aki ed scd"
systemic sclerosis scleroderma;315;sle
"systemic sclerosis associated interstitial lung disease; rheumatoid arthritis";316;"dcssc; ra pa ka jpa gout"
systemic sclerosis associated interstitial lung disease;317;dcssc
systemic sclerosis;318;sle
systemic scleroderma;319;sle
"systemic lupus erythematosus; systemic sclerosis";320;"sle; sle"
"systemic lupus erythematosus; lupus nephritis";321;"sle; sle"
"systemic lupus erythematosus; lupus";322;"sle; sle"
"systemic lupus erythematosus; idiopathic inflammatory myopathies";323;"sle; ipf cf pe iim lf"
"systemic lupus erythematosus; dermatomyositis; polymyositis; anca-associated vasculitis";324;"sle; dm; pm; anca vasculitis"
"systemic lupus erythematosus; cutaneous lupus erythematosus";325;"sle; sle"
"systemic lupus erythematosus; cutaneous lupus";326;"sle; sle"
"systemic lupus erythematosus; antiphospholipid antibody syndrome";327;"sle; rds mets cad ibs rtis"
systemic lupus erythematosus, lupus nephritis, systemic sclerosis;328;"sle; sle; sle"
systemic lupus erythematosus;329;sle
"systemic juvenile idiopathic arthritis; periodic fever syndrome";330;"juvenile idiopathic arthritis; rds mets cad ibs rtis"
"systemic juvenile idiopathic arthritis; adult-onset stills disease";331;"juvenile idiopathic arthritis; ckd cad aki ed scd"
systemic disorders of connective tissue;332;male genital disorders connective tissue disorders female genital noninflammatory disorders cervix nonin
systemic connective tissue disorders;333;connective tissue disorders
"synovitis; tenosynovitis";334;"tenosynovitis; tenosynovitis"
synovitis and tenosynovitis;335;ssi
supraspinatus tendonitis;336;supraspinatus tendonitis
subdeltoid bursitis;337;bursitis
stills disease;338;ckd cad aki ed scd
stiffness of joint;339;qol gb disorders pulp necrosis gb calculus ureter calculus
"spondylosis; spondylopathies";340;"spondylosis; spondylopathies"
"spondylosis; sciatica";341;"spondylosis; sciatica"
"spondylosis; low back pain";342;"spondylosis; pain"
spondylosis;343;spondylosis
spondylopathy;344;traumatic spondylopathy
spondylopathies;345;spondylopathies
"spondyloarthritis; enthesitis";346;"axial spa; enthesitis"
